Label,Ticker,Sector,Universe,CSV_Path,Resolved
BLUESTONE,BLUESTONE.NS,Consumer Durables,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Consumer_Durables\bluestone.csv,Y
BORORENEW,BORORENEW.NS,Capital Goods,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Capital_Goods\bororenew.csv,Y
CMSINFO,CMSINFO.NS,Services,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Services\cmsinfo.csv,Y
CORONA,CORONA.NS,Healthcare,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Healthcare\corona.csv,Y
CSBBANK,CSBBANK.NS,Financial Services,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Financial_Services\csbbank.csv,Y
CAMPUS,CAMPUS.NS,Consumer Durables,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Consumer_Durables\campus.csv,Y
CRAMC,CRAMC.NS,Financial Services,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Financial_Services\cramc.csv,Y
CAPILLARY,CAPILLARY.NS,Information Technology,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Information_Technology\capillary.csv,Y
CELLO,CELLO.NS,Consumer Durables,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Consumer_Durables\cello.csv,Y
CENTURYPLY,CENTURYPLY.NS,Consumer Durables,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Consumer_Durables\centuryply.csv,Y
CERA,CERA.NS,Consumer Durables,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Consumer_Durables\cera.csv,Y
CRIZAC,CRIZAC.NS,Consumer Services,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Consumer_Services\crizac.csv,Y
CUPID,CUPID.NS,Fast Moving Consumer Goods,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Fast_Moving_Consumer_Goods\cupid.csv,Y
